+-------------------------------+-----------+----------------------+---------------+-----------+
| productFamily                 | tenancy   | pubdate              | instanceType  | memory    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | r5ad.xlarge   | 32 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | c5n.metal     | 192 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | g4dn.4xlarge  | 64 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | m5.4xlarge    | 64 GiB    |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r5dn.4xlarge  | 128 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r5a.16xlarge  | 512 GiB   |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r5n.xlarge    | 32 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | m5a.large     | 8 GiB     |
| Compute Instance              | Dedicated | 2019-10-18T01:39:56Z | r5.4xlarge    | 128 GiB   |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | i3en.large    | 16 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | c5n.9xlarge   | 96 GiB    |
| Compute Instance              | Shared    | 2019-10-18T01:39:56Z | m5d.8xlarge   | 128 GiB   |
| Compute Instance              | Host      | 2019-10-18T01:39:56Z | m4.16xlarge   | 256 GiB   |
| Compute Instance              | Host      | 2019-10-18T01:39:56Z | r4.large      | 15.25 GiB |
+-------------------------------+-----------+----------------------+---------------+-----------+
